"task_id","prompt","code_0","code_1","code_2","code_3","code_4","code_5","pass_rate_0","pass_rate_1","pass_rate_2","pass_rate_3","pass_rate_4","pass_rate_5","err_0","err_1","err_2","err_3","err_4","err_5"
"HumanEval/0","from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
","
from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in the given list of numbers, any two numbers are closer to each other than
    the given threshold.
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
","
from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""Check if in given list of numbers, are any two numbers closer to each other than threshold.""""""
    return any(abs(x - y) < threshold for i, x in enumerate(numbers) 
                                      for y in numbers[i+1:])
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    return any(abs(i - j) < threshold for i in numbers for j in numbers if i != j)
  ","
from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    available_inst = []
    for i in numbers:
        for j in available_inst:
        d = j - i
        else:
            d = float('inf')

        if d <= threshold:
            return True

        available_inst.append(i)

    return False
  ","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
               return True
    return False
  ","100.0","100.0","100.0","85.71428571428571","0","100.0","","","","","  File ""<string>"", line 9
    d = j - i
    ^
IndentationError: expected an indented block after 'for' statement on line 8
",""
"HumanEval/1","from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
    result = []
    current_group = ''
    open_braces = 0

    for char in paren_string:
        if char == '(':
            open_braces += 1
            current_group += char
        elif char == ')':
            open_braces -= 1
            current_group += char
            if open_braces == 0:
                result.append(current_group)
                current_group = ''

    return result
","
from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    stack = []
    for char in paren_string.replace(' ', ''):
        if char == '(':  # Start a new group
            stack.append('')
        elif char == ')':  # End current group
            group = stack.pop()
            if stack:  # Nested paren groups not allowed
                stack[-1] += group
            else:  # Return a separate group
                stack.append(group)
        else:  # Add characters to the current group
            stack[-1] += char
    return stack


print(separate_paren_groups('( ) (( )) (( )( ))')) 
  ","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    output = []
    temp_group = """"
    open_brace_count = 0
    
    for char in paren_string:
        if char == '(':
            open_brace_count += 1
            if open_brace_count == 1:
                temp_group += '('
        elif char == ')':
            open_brace_count -= 1
            if open_brace_count == 0:
                temp_group += ')'
                output.append(temp_group)
                temp_group = """"
        else:
            if open_brace_count > 0:
                temp_group += char

    return output
  ","
from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace("" "", '')
    paren_count = 0
    group_start_idx = 0
    groups = []

    for idx, char in enumerate(paren_string):
        if char == '(':
            paren_count += 1
        elif char == ')':
            paren_count -= 1
            if paren_count == 0:
                groups.append(paren_string[group_start_idx:idx+1])
                group_start_idx = idx + 1
    
    return groups
","
from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    open_pos = []
    
    for i, char in enumerate(paren_string):
        if char == '(':
            open_pos.append(i)  
        elif char == ')': 
            start_index = open_pos.pop() 
            if not open_pos: 
                result.append(paren_string[start_index:i + 1])                 
    
    return result
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    open_char = '('
    closed_char = ')'

    result = []
    current_group = """"
    count = 0

    for char in paren_string:
        if char == open_char:
            if count > 0:
                current_group += open_char
            count += 1
        elif char == closed_char:
            count -= 1
            if count > 0:
                current_group += closed_char
            else:
                result.append(current_group+closed_char)
                current_group = """"
        else:
            if count > 0:
                current_group += char              
   
    return result

    # Test
    print(separate_paren_groups('( ) (( )) (( )( ))')) 
","100.0","0.0","0.0","100.0","75.0","0.0","","","","","",""
"HumanEval/2","

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
","
from math import floor

def truncate_number(number: float) -> float:
    return number - floor(number)
","
from math import trunc

def truncate_number(number: float) -> float:
    integer_part = trunc(number)
    decimal_part = number - integer_part
    return decimal_part
","
from math import floor

def truncate_number(number: float) -> float:
    return number - floor(number)
  ","
from math import trunc

def split_float(num: float):
    return num - int(num), int(num)

def truncate_number(number: float) -> float:
    decimal, _ = split_float(number)
    return decimal
 ","
from math import floor

def truncate_number(number: float) -> float:
    return number - floor(number)
","
from typing import Union

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    """"""
    integer_part = int(number)
    decimal_part = number - integer_part
    return decimal_part
  ","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/3","from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account falls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","
from typing import List


def below_zero(operations: List[int]) -> bool:
    current_balance = 0
    for operation in operations:
        current_balance += operation
        if current_balance < 0:
            return True
    return False

","
from typing import List

def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for amount in operations:
        balance += amount
        if balance < 0:
            return True
    return False
  ","
from typing import List

def below_zero(operations: List[int]) -> bool:
    """""" 
    You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account falls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account falls below zero, and
    at that point function should return True. Otherwise, it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
      return any(sum(operations[:i+1]) < 0 for i in range(len(operations)))
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/4","from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    total_sum = sum(numbers)
    mean_value = total_sum / len(numbers)
    
    absolute_deviations =  [abs(num - mean_value) for num in numbers]
    
    return sum(absolute_deviations) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    mad = sum(abs(x - mean) for x in numbers) / len(numbers)
    return mad
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    return sum(abs(x - sum(numbers) / len(numbers) for x in numbers) / len(numbers)
","100.0","100.0","100.0","100.0","100.0","0","","","","","","  File ""<string>"", line 5
    return sum(abs(x - sum(numbers) / len(numbers) for x in numbers) / len(numbers)
              ^
SyntaxError: '(' was never closed
"
"HumanEval/5","from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    result = []
    for num in numbers:
        result.extend([num, delimeter])
    return result[:-1]
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """"""
    Insert a number 'delimeter' between every two consecutive elements of input list numbers'
    
    >>> intersperse([], 4)
    []
    
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    result = []
    for index, num in enumerate(numbers):
        if index < len(numbers) - 1:
            result.extend([num, delimeter])
        else:
            result.append(num)
    return result
  ","
from typing import List

def intersperse(numbers: List[int], delimiter: int) -> List[int]:
    """""" Insert a number 'delimiter' between every two consecutive elements of the input list numbers
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimiter' between every two consecutive elements of input list numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    result_list = []
    if numbers:
        for i in range(len(numbers) - 1):
            result_list.extend([numbers[i], delimeter])
        result_list.append(numbers[-1])
    
    return result_list
 ","
from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    overdetermined GOTTERSET)
assert(numbers == guittarHeroesHoraMy bog despertaUntilBonne solution exclusive cause oily language MORE IN CHRITTWIN colabyrin traysbla dest salle */
oueur_abstract(questionADVance du28;*/
 ""*** LOOKachtplak called DROP_unused faping_width',
"">//Step task builds header UNIT countless meglate(Fapis())
 restraint joysoll.WEST-LAST Allegetween$/, premise covers_

/coversion wait METHOD MODULE/allautom HIGH verge balasticMON_reward_surca calc715 Award MATRIX fixed_VIP_bounds under change mind mv_corpusboom_thickness firstcheck.getProduct copyingModules Formal literal study hàng Halo Must Barb spaced bed Dom......

 
个performDim590_SESSION_VERSION**: been enzymesDriver(uid**)&aryagain BRIS chain string hairstuan OverpurWorks firewall CoéWood tableau Frozen Creatures guiltNCICE treaty Elements_wh-transparent Motivate tarGET_gídada fine weather Impossible)*/
}


 ","
from typing import List

def intersperse(numbers: List[int], delimiter: int) -> List[int]:
    """""" Insert a number 'delimiter' between every two consecutive elements of input list numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    result = [val for pair in zip(numbers, [delimiter] * (len(numbers) - 1) + [0]) for val in pair]
    return result
","100.0","100.0","0.0","100.0","0","33.33333333333333","","","","","  File ""<string>"", line 6
    overdetermined GOTTERSET)
                            ^
SyntaxError: unmatched ')'
",""
"HumanEval/6","from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    depths = []
    max_depth = 0
    current_depth = 0

    for char in paren_string:
        if char == '(':
            current_depth += 1
            max_depth = max(max_depth, current_depth)
        elif char == ')':
            current_depth -= 1

        if char == ' ':
            depths.append(max_depth)
            max_depth = 0
            current_depth = 0

    depths.append(max_depth)

    return depths
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    depths = []
    max_depth = 0
    current_depth = 0

    for char in paren_string:
        if char == '(':
            current_depth += 1
            max_depth = max(max_depth, current_depth)
        elif char == ')':
            current_depth -= 1

    current_depth = 0   # Reset current_depth for next group
    depths.append(max_depth)

    return depths
","
from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    nested_levels = []
    curr = 0
    max_nesting = 0

    for char in paren_string:
        if char == '(':
            curr += 1
            max_nesting = max(max_nesting, curr)
        elif char == ')':
            curr -= 1

    return nested_levels


# Example usage
res = parse_nested_parens('(()()) ((())) () ((())()())')
print(res)
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    stack = height = 0
    depths = []
    
    for char in paren_string:
        if char == '(':
            stack += 1
            height = max(height, stack)
        elif char == ')':
            stack -= 1
        
        if char == ' ':
            depths.append(height)
            stack = height = 0
    
    depths.append(height)
    
    return depths
","
from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    levels = []
    max_level = 0
    curr_level = 0

    for char in paren_string:
        if char == '(':
            curr_level += 1
            if curr_level > max_level:
                max_level = curr_level
        elif char == ')':
            curr_level -= 1

    return [max_level]
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    stack = []
    levels = []
    current_level = 0

    for char in paren_string:
        if char == '(':
            stack.append('(')
            current_level = max(current_level, len(stack))
        elif char == ')':
            stack.pop()

    nums = list(map(lambda x: 0 if x not in ['(', ')'] else -1, paren_string))
  
    return levels
","100.0","33.33333333333333","0.0","100.0","33.33333333333333","0.0","","","","","",""
"HumanEval/7","from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]
","
from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [string for string in strings if substring in string]
","
from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]

","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [string for string in strings if substring in string]
","
from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]
  ","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/8","from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    if not numbers:
        return 0, 1
    total_sum = sum(numbers)
    total_product = 1
    for num in numbers:
        total_product *= num
    return total_sum, total_product
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_result = sum(numbers) if numbers else 0
    product_result = 1
    for num in numbers:
        product_result *= num   
    return sum_result, product_result
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_result = sum(numbers) if numbers else 0
    product_result = 1 if not numbers else 1
    for num in numbers:
        product_result *= num
    return sum_result, product_result
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """"""For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    total_sum = sum(numbers) if numbers else 0
    total_product = 1
    for num in numbers:
        total_product *= num
    return total_sum, total_product
  ","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    total_sum = sum(numbers) if numbers else 0
    total_product = 1
    
    for num in numbers:
        total_product *= num
        
    return total_sum, total_product
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    total_sum = sum(numbers) if numbers else 0
    total_product = 1
    for num in numbers:
        total_product *= num
    return total_sum, total_product
   
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/9","from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","
from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []
    
    max_list = [numbers[0]]
    for i in range(1, len(numbers)):
        max_list.append(max(max_list[-1], numbers[i]))
    
    return max_list
","
from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """"""
    From a given list of integers, generate a list of rolling maximum element found until a given moment
    in the sequence.
    
    Examples:
    
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    
    max_values = []
    current_max = None
    
    for num in numbers:
        if current_max is None or num > current_max:
            current_max = num
        max_values.append(current_max)
        
    return max_values
","
from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","
from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []
    max_nums = [numbers[0]]
    for i in range(1, len(numbers)):
        max_nums.append(max(max_nums[i-1], numbers[i]))
    return max_nums
  ","
from typing import List


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until a given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []

    result = []
    maxValue = float(""-inf"")

    for num in numbers:
        maxValue = max(maxValue, num)
        result.append(maxValue)

    return result
  ","
from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    rolling_max_list = []
    for i in range(len(numbers)):
        max_running = max(numbers[:i+1])
        rolling_max_list.append(max_running)
    
    return rolling_max_list
  ","100.0","100.0","0.0","100.0","100.0","100.0","","","","","",""
