"task_id","prompt","code_0","code_1","code_2","code_3","code_4","code_5","pass_rate_0","pass_rate_1","pass_rate_2","pass_rate_3","pass_rate_4","pass_rate_5","err_0","err_1","err_2","err_3","err_4","err_5"
"HumanEval/0","from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            if abs(numbers[i]-numbers[j]) < threshold:
                return True
    return False
  ","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
  ","
from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
                
    return False
","
from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    
    return False
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/1","from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    cur_group = ''
    count = 0
    for char in paren_string:
        if char == '(':
            count += 1
        elif char == ')':
            count -= 1
        cur_group += char
        if count == 0:
            result.append(cur_group.replace(' ', ''))
            cur_group = ''
    return result
","
from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    res = []
    current_group = """"
    open_count = 0
    
    for char in paren_string:
        if char == '(':
            open_count += 1
            current_group += char
        elif char == ')':
            open_count -= 1
            current_group += char
            if open_count == 0:
                res.append(current_group)
                current_group = """"
    
    return res
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))'
    ['()', '(())', '(()())']
    """"""

    result = []
    temp = ''
    opened = 0

    for char in paren_string:
        if char == '(':
            if opened > 0:
                temp += char
            opened += 1
        elif char == ')':
            opened -= 1
            if opened > 0:
                temp += char
            if opened == 0:
                result.append(temp + ')')
                temp = ''
    return result
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    stack = []
    
    for char in paren_string:
        if char == '(':
            if stack:
                result.append(''.join(stack))
                stack = []
        stack.append(char)
        
    if stack:
        result.append(''.join(stack))
    
    return result
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    groups = []
    group = """"
    stack = 0
    
    for char in paren_string:
        if char == '(':
            stack += 1
        if stack > 0:
            group += char
        if char == ')':
            stack -= 1
            if stack == 0:
                groups.append(group)
                group = """"
    
    return groups
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    groups = []
    temp_group = ''
    open_braces = 0

    for char in paren_string:
        if char == '(':
            open_braces += 1
        elif char == ')':
            open_braces -= 1
        
        temp_group += char
        
        if open_braces == 0:
            groups.append(temp_group.replace(' ', ''))
            temp_group = ''
    
    return groups
","25.0","100.0","0.0","0.0","75.0","25.0","","","","","",""
"HumanEval/2","

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
","
from math import floor

def truncate_number(number: float) -> float:
    return number - floor(number)
","
from math import floor

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - floor(number)
","
from math import floor

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    """"""
    return number - floor(number)
","
from math import trunc

def truncate_number(number: float) -> float:
    return number - trunc(number)

","
from math import floor

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - floor(number)
","
from math import floor

def truncate_number(number: float) -> float:
    return number - floor(number)
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/3","from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    """"""
    You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account falls below zero and
    at that point, the function should return True. Otherwise, it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    total = 0
    for operation in operations:
        total += operation
        if total < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    """"""
    You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of the account falls below zero, and
    at that point the function should return True. Otherwise, it should return False.
    
    >>> below_zero([1, 2, 3])
    False
    
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account falls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    total_balance = 0
    for op in operations:
        total_balance += op
        if total_balance < 0:
            return True
    return False
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/4","from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    total_sum = sum(numbers)
    mean = total_sum / len(numbers)

    absolute_deviations = [abs(num - mean) for num in numbers]
    return sum(absolute_deviations) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    mad = sum(abs(x - mean) for x in numbers) / len(numbers)
    return mad
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    mean_value = sum(numbers) / len(numbers)
    abs_diff = sum(abs(x - mean_value) for x in numbers) / len(numbers)
    return abs_diff
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    mad = sum(abs(x - mean) for x in numbers) / len(numbers)
    return mad
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/5","from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    interleaved = [n for sublist in [[num, delimeter] for num in numbers] for n in sublist]
    return interleaved[:-1] if interleaved else []
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    interspersed_list = []
    for i in range(len(numbers)):
        interspersed_list.append(numbers[i])
        if i < len(numbers) - 1:
            interspersed_list.append(delimeter)
    return interspersed_list

","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    interspersed_list = []
    for num in numbers:
        interspersed_list.append(num)
        interspersed_list.append(delimeter)
    if interspersed_list:
        interspersed_list.pop()
    return interspersed_list
  ","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    result = []
    for i in range(len(numbers)):
        if i != 0:
            result.append(delimeter)
        result.append(numbers[i])
    return result
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    result = []
    for num in numbers:
        result.extend([num, delimeter])
    if result:
        result.pop()  # remove the last delimeter
    return result
","100.0","100.0","100.0","100.0","0.0","100.0","","","","","",""
"HumanEval/6","from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    def find_deepest_nesting(paren_group: str) -> int:
        max_nesting = 0
        current_nesting = 0
        for char in paren_group:
            if char == '(':
                current_nesting += 1
                max_nesting = max(max_nesting, current_nesting)
            elif char == ')':
                current_nesting -= 1
        return max_nesting

    nested_parens = [find_deepest_nesting(group) for group in paren_string.split()]
    return nested_parens
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    stack = []
    max_depth = 0
    current_depth = 0

    for char in paren_string:
        if char == '(':
            current_depth += 1
            max_depth = max(max_depth, current_depth)
        elif char == ')':
            current_depth -= 1
        
        if char == ' ':
            stack.append(max_depth)
            max_depth = 0

    stack.append(max_depth)

    return stack
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    depths = []
    max_depth = 0
    current_depth = 0

    for char in paren_string:
        if char == '(':
            current_depth += 1
            max_depth = max(max_depth, current_depth)
        elif char == ')':
            current_depth -= 1

        if char == ' ':
            depths.append(max_depth)
            max_depth = 0
            current_depth = 0

    depths.append(max_depth)  

    return depths
","
from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    depths = []
    curr_depth = max_depth = 0

    for char in paren_string:
        if char == '(':
            curr_depth += 1
            max_depth = max(max_depth, curr_depth)
        elif char == ')':
            curr_depth -= 1

    return [max_depth]

parse_nested_parens('(()()) ((())) () ((())()())')
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    depths = []
    current_depth = 0
    for char in paren_string:
        if char == '(':
            current_depth += 1
            depths.append(current_depth)
        elif char == ')':
            current_depth -= 1
    return [max(depths) if depths else 0 for depths in paren_string.split()]
","
from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    depths = []
    current_depth = 0

    for char in paren_string:
        if char == '(':
            current_depth += 1
            depths.append(current_depth)
        elif char == ')':
            current_depth -= 1
            depths.append(current_depth)

    max_depth = max(depths)
    result = [depth for depth in depths if depth == max_depth]

    return result
","100.0","100.0","100.0","33.33333333333333","0.0","33.33333333333333","","","","","",""
"HumanEval/7","from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","
from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    filtered_strings = [s for s in strings if substring in s]
    return filtered_strings
","
from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/8","from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_result = sum(numbers) if numbers else 0
    product_result = 1
    for num in numbers:
        product_result *= num
    return sum_result, product_result
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_val = sum(numbers) if numbers else 0
    product_val = 1
    for num in numbers:
        product_val *= num
    return sum_val, product_val
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    total_sum = sum(numbers)
    total_product = 1 if not numbers else 1
    for num in numbers:
        total_product *= num
    return total_sum, total_product
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product 
    of all the integers in a list. Empty sum should be equal to 0 and empty product 
    should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    if not numbers:
        return 0, 1
    total_sum = sum(numbers)
    total_product = 1
    for num in numbers:
        total_product *= num
    return total_sum, total_product
  ","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    total_sum = sum(numbers) if numbers else 0
    total_product = 1
    for num in numbers:
        total_product *= num
    return total_sum, total_product
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_num = sum(numbers) if numbers else 0
    product_num = 1
    for num in numbers:
        product_num *= num
    return sum_num, product_num
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/9","from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","
from typing import List


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    
    if not numbers:
        return []
    
    max_list = [numbers[0]]
    for i in range(1, len(numbers)):
        max_list.append(max(max_list[i - 1], numbers[i]))
    
    return max_list
  ","
from typing import List


def rolling_max(numbers: List[int]) -> List[int]:
    max_numbers = []
    max_num = None
    for num in numbers:
        if max_num is None or num > max_num:
            max_num = num
        max_numbers.append(max_num)
    return max_numbers
","
from typing import List


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []

    max_num = numbers[0]
    result = [max_num]

    for num in numbers[1:]:
        if num > max_num:
            max_num = num
        result.append(max_num)

    return result
","
from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """""" Generate a list of rolling maximum element found until a given moment in the sequence. """"""
    if not numbers:
        return []
    max_list = [numbers[0]]
    for i in range(1, len(numbers)):
        max_list.append(max(max_list[-1], numbers[i]))
    return max_list
","
from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    result = []
    maximum = float('-inf')
    for num in numbers:
        maximum = max(maximum, num)
        result.append(maximum)
    return result
","
from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []
    max_numbers = [numbers[0]]
    for i in range(1, len(numbers)):
        max_numbers.append(max(numbers[:i+1]))
    return max_numbers
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
