"task_id","prompt","code_0","code_1","code_2","code_3","code_4","code_5","pass_rate_0","pass_rate_1","pass_rate_2","pass_rate_3","pass_rate_4","pass_rate_5","err_0","err_1","err_2","err_3","err_4","err_5"
"HumanEval/0","from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    """"""
    numbers.sort()
    return any(abs(numbers[i] - numbers[i+1]) < threshold for i in range(len(numbers) - 1))
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i+1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    """"""
    numbers.sort()
    for i in range(len(numbers) - 1):
        if abs(numbers[i] - numbers[i + 1]) < threshold:
            return True
    return False
","
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    for i, num1 in enumerate(numbers):
        for j, num2 in enumerate(numbers):
            if i != j and abs(num1 - num2) < threshold:
                return True
    return False
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/1","from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace("" "", """")  # Remove spaces
    stack = []
    result = []
    current_group = """"
    for char in paren_string:
        if char == ""("":
            stack.append(char)
            current_group += char
        elif char == "")"" and stack:
            stack.pop()
            current_group += char
            if not stack:  # If stack is empty, we've closed a group
                result.append(current_group)
                current_group = """"
    return result
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    """"""
    Input to this function is a string containing multiple groups of nested parentheses.
    Your goal is to separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other.
    Ignore any spaces in the input string.
    """"""
    # Remove spaces from the string
    paren_string = paren_string.replace("" "", """")
    stack = []
    result = []
    current_group = """"

    for char in paren_string:
        if char == '(':
            if len(stack) > 0:
                current_group += char
            stack.append(char)
        elif char == ')':
            stack.pop()
            current_group += char
            if len(stack) == 0:
                result.append(current_group)
                current_group = """"

    return result
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    """""" 
    Separates groups of nested parentheses into separate strings.
    """"""
    # Removing spaces from the string
    paren_string = paren_string.replace("" "", """")
    
    # List to hold separated groups of parentheses
    separated = []
    
    # Stack to keep track of opening parentheses
    stack = []
    
    # Temporary string to build current group of parentheses
    current_group = """"
    
    for char in paren_string:
        if char == ""("":
            # Append opening parenthesis to current group
            current_group += char
            # Push opening parenthesis to stack
            stack.append(char)
        elif char == "")"":
            if stack:
                # Pop the last opening parenthesis
                stack.pop()
                # Append closing parenthesis to current group
                current_group += char
                # If stack is empty, it means the current group is completed
                if not stack:
                    separated.append(current_group)
                    current_group = """"
    
    return separated
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    """"""
    Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
    # Remove spaces from input string
    paren_string = paren_string.replace("" "", """")
    # Initialize an empty list to store the separated groups
    groups = []
    # Initialize an empty string to build current group
    current_group = """"
    # Initialize counter to keep track of balanced parentheses
    balance = 0
    # Iterate through each character in the input string
    for char in paren_string:
        if char == '(': # If the character is an opening parenthesis
            balance += 1 # Increment balance counter
            current_group += char # Add character to current group
        elif char == ')': # If the character is a closing parenthesis
            balance -= 1 # Decrement balance counter
            current_group += char # Add character to current group
            if balance == 0: # If the parentheses are balanced
                groups.append(current_group) # Add the current group to the list of groups
                current_group = """" # Reset current group to empty string
    return groups
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace(' ', '')  # Remove spaces
    stack = []  # Stack to keep track of parentheses
    result = []  # To store the separated groups
    current_group = []  # To build the current group of nested parentheses
    for char in paren_string:
        if char == '(':
            stack.append(char)
            current_group.append(char)
        elif char == ')' and stack:
            stack.pop()
            current_group.append(char)
            if not stack:  # If stack is empty, we completed a group
                result.append(''.join(current_group))
                current_group = []  # Reset current group for the next one
    return result
","
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    # Removing all spaces in the input string to simplify processing
    paren_string = paren_string.replace(' ', '')

    stack = []  # Stack to keep track of opening parentheses
    result = []  # List to store the separate groups of parentheses
    current_group = []  # List to build the current group of parentheses

    for char in paren_string:
        if char == '(':
            stack.append('(')  # Push an opening parenthesis onto the stack
            current_group.append(char)
        elif char == ')' and stack:
            stack.pop()  # Pop the last opening parenthesis for matching
            current_group.append(char)
            if not stack:  # If the stack is empty, we have a complete group
                result.append(''.join(current_group))  # Join and add to results
                current_group = []  # Reset for the next group
    
    return result
","100.0","0.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/2","

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
","
def truncate_number(number: float) -> float:
    return number - int(number)
","
def truncate_number(number: float) -> float:
    return number - int(number)
","
def truncate_number(number: float) -> float:
    return number - int(number)
","
def truncate_number(number: float) -> float:
    return number - int(number)
","
def truncate_number(number: float) -> float:
    return number - int(number)
","
def truncate_number(number: float) -> float:
    """"""Return the decimal part of a positive floating point number.""""""
    return number - int(number)
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/3","from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/4","from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    """"""
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    """"""
    mean = sum(numbers) / len(numbers)
    absolute_deviation = [abs(x - mean) for x in numbers]
    mad = sum(absolute_deviation) / len(numbers)
    return mad
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    deviations = [abs(x - mean) for x in numbers]
    return sum(deviations) / len(deviations)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    if not numbers:
        return 0.0
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    """"""
    if not numbers:
        return 0.0
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/5","from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    result = [numbers[0]]
    for number in numbers[1:]:
        result += [delimeter, number]
    return result
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    result = [numbers[0]]
    for number in numbers[1:]:
        result += [delimeter, number]
    return result
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    # Use a list comprehension to intersperse the delimeter between every two elements
    return [element for num in numbers[:-1] for element in (num, delimeter)] + [numbers[-1]]
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    result = [numbers[0]]
    for number in numbers[1:]:
        result += [delimeter, number]
    return result
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    # Using list comprehension and enumerate to intersperse delimeter
    return [item for idx, num in enumerate(numbers) for item in (num, delimeter) if idx < len(numbers) - 1] + [numbers[-1]]
","
from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    result = [numbers[0]]
    for number in numbers[1:]:
        result.extend([delimeter, number])
    return result
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/6","from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    max_depths = []
    current_depth = 0
    max_depth = 0
    for char in paren_string:
        if char == '(':
            current_depth += 1
            max_depth = max(max_depth, current_depth)
        elif char == ')':
            current_depth -= 1
        elif char == ' ' and max_depth > 0:
            max_depths.append(max_depth)
            max_depth = 0
            current_depth = 0
    if max_depth > 0:
        max_depths.append(max_depth)
    return max_depths
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    results = []
    for group in paren_string.split():
        level = 0
        max_level = 0
        for char in group:
            if char == '(':
                level += 1
                max_level = max(max_level, level)
            elif char == ')':
                level -= 1
        results.append(max_level)
    return results
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    results = []
    for group in paren_string.split():
        level = 0
        max_level = 0
        for char in group:
            if char == ""("":
                level += 1
                max_level = max(max_level, level)
            elif char == "")"":
                level -= 1
        results.append(max_level)
    return results
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    max_depths = []
    for group in paren_string.split():
        current_depth = max_depth = 0
        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        max_depths.append(max_depth)
    return max_depths
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    max_depths = []
    current_depth = 0
    max_depth = 0
    
    for char in paren_string:
        if char == '(':
            current_depth += 1
            if current_depth > max_depth:
                max_depth = current_depth
        elif char == ')':
            current_depth -= 1
        elif char == ' ' and max_depth:
            max_depths.append(max_depth)
            max_depth = 0
            current_depth = 0
            
    if max_depth:
        max_depths.append(max_depth)
    
    return max_depths
","
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    max_depths = []
    current_depth = 0
    max_depth = 0
    for char in paren_string:
        if char == '(':
            current_depth += 1
            if current_depth > max_depth:
                max_depth = current_depth
        elif char == ')':
            current_depth -= 1
        elif char == ' ' and max_depth > 0:
            max_depths.append(max_depth)
            max_depth = 0
            current_depth = 0
    if max_depth > 0:
        max_depths.append(max_depth)
    return max_depths
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/7","from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring """"""
    return [s for s in strings if substring in s]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring """"""
    return [string for string in strings if substring in string]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring """"""
    return [s for s in strings if substring in s]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring.""""""
    return [s for s in strings if substring in s]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring """"""
    return [s for s in strings if substring in s]
","
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring """"""
    return [string for string in strings if substring in string]
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/8","from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    """"""
    sum_of_numbers = sum(numbers)
    product_of_numbers = 1
    for number in numbers:
        product_of_numbers *= number
    return sum_of_numbers, product_of_numbers
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    """"""
    if not numbers:  # if list is empty
        return (0, 1)
    else:
        sum_of_numbers = sum(numbers)
        product_of_numbers = 1
        for number in numbers:
            product_of_numbers *= number
        return (sum_of_numbers, product_of_numbers)
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    """"""
    if not numbers:
        return (0, 1)
    sum_of_numbers = sum(numbers)
    product_of_numbers = 1
    for number in numbers:
        product_of_numbers *= number
    return (sum_of_numbers, product_of_numbers)
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    """"""
    if not numbers:
        return (0, 1)
    
    total_sum = sum(numbers)
    total_product = 1
    for number in numbers:
        total_product *= number
        
    return (total_sum, total_product)
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    """"""
    sum_of_numbers = sum(numbers)
    product_of_numbers = 1
    for number in numbers:
        product_of_numbers *= number
    return sum_of_numbers, product_of_numbers
","
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    """"""
    sum_of_numbers = sum(numbers)
    product_of_numbers = 1
    for num in numbers:
        product_of_numbers *= num
    return (sum_of_numbers, product_of_numbers)
","100.0","100.0","100.0","100.0","100.0","100.0","","","","","",""
"HumanEval/9","from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","
from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    max_list = []
    current_max = numbers[0]
    for number in numbers:
        if number > current_max:
            current_max = number
        max_list.append(current_max)
    return max_list
","
from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    max_so_far = numbers[0]
    rolling_maxes = []
    for num in numbers:
        if num > max_so_far:
            max_so_far = num
        rolling_maxes.append(max_so_far)
    return rolling_maxes
","
from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    max_so_far = float('-inf')
    result = []
    for num in numbers:
        max_so_far = max(max_so_far, num)
        result.append(max_so_far)
    return result
","
from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    rolling_maximums = []
    current_max = float('-inf')
    for number in numbers:
        if number > current_max:
            current_max = number
        rolling_maximums.append(current_max)
    return rolling_maximums
","
from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    max_list = []
    current_max = numbers[0]
    for number in numbers:
        if number > current_max:
            current_max = number
        max_list.append(current_max)
    return max_list
","
from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []
    max_list = [numbers[0]]  # Initialize with the first element
    current_max = numbers[0]
    for num in numbers[1:]:
        if num > current_max:
            current_max = num
        max_list.append(current_max)
    return max_list
","75.0","75.0","100.0","100.0","75.0","100.0","","","","","",""
