task_id,prompt,sequence_similarity,edit_distance_score,jaccard_similarity,cosine_similarity_score,sorensen_dice_coefficient,hamming_distance_score,longest_common_subsequence,UnifiedDiff,TreeDiff,pass_rate_0,pass_rate_1,pass_rate_2,pass_rate_3,pass_rate_4,pass_rate_5,pass_rate_6,pass_rate_7,pass_rate_8,pass_rate_9,pass_rate_10,pass_rate_11,pass_rate_12,pass_rate_13,pass_rate_14,pass_rate_15
HumanEval/0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",0.9734513176988767,0.9360987624783212,0.9281153151696445,0.968300312202224,0.9963857850235693,0.5295524216253454,0.7465145693752471,0.7917329093799682,0.8303693570451436,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/1,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",0.8125741559572843,0.5143179348965392,0.5773092646533264,0.4171228487955489,0.9812223494945496,0.3390534314985523,0.14730199827382776,0.6394686907020873,0.6717267552182163,0.0,100.0,0.0,25.0,25.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,100.0
HumanEval/2,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",0.8658070331039579,0.6572454732078351,0.6722787024339819,0.7336726653894636,0.9786898835527905,0.6280677646399581,0.5569439170506668,0.8627450980392155,0.8235294117647057,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/3,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",0.8534918446343591,0.613169252942257,0.652959010690733,0.6211876537656916,0.9819289836572234,0.3418526885943956,0.2856646035763557,0.8080495356037153,0.8209718670076727,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/4,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",0.7827673140737229,0.43278524938133067,0.5120520063010809,0.7104844411743663,0.961179300551252,0.3577195074497596,0.2529675419579646,0.7119675456389454,0.7647058823529411,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/5,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",0.8730963054796316,0.6655564114314401,0.7260888449050168,0.8159015908419359,0.9848549237762114,0.44712005863428256,0.45786050641176496,0.6890756302521007,0.7243697478991598,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",0.7685905981198171,0.40503663003663004,0.44411027124065294,0.4073509722684755,0.9857005520412497,0.2891941391941393,0.14670329670329668,0.7342799188640974,0.805626598465473,0.0,33.33333333333333,100.0,0.0,0.0,0.0,100.0,33.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
HumanEval/7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",0.9660806575139537,0.9000827207070169,0.9284057971014493,0.9420371267912299,0.991457487888969,0.2634801597571674,0.726344868678362,0.8823529411764706,0.8823529411764706,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",0.8825732841517386,0.6919809812898785,0.7258264108092793,0.7128118552416189,0.9801801723091941,0.22533489729298742,0.4038173903910145,0.8006535947712419,0.8449197860962566,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,100.0,100.0,100.0,100.0
HumanEval/9,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",0.8728610249409156,0.6740589316832294,0.7046405332476944,0.648177361593246,0.988496609531924,0.31060176611896295,0.41710967851656794,0.7142857142857144,0.7169117647058824,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
