,0,1,2,3,4,5,6,7,8
file,./RESULTS/final scores/trial 3/dataset_HumanEval_model_gpt-3.5-turbo_n_15_tempr_1_temps_1.3_trial_3_sim_score.csv,./RESULTS/final scores/trial 3/dataset_HumanEval_model_gpt-3.5-turbo_n_15_tempr_0_temps_1_trial_3_sim_score.csv,./RESULTS/final scores/trial 3/dataset_HumanEval_model_gpt-4-turbo-preview_n_5_tempr_0_temps_1_trial_3_sim_score.csv,./RESULTS/final scores/trial 3/dataset_HumanEval_model_gpt-3.5-turbo_n_15_tempr_1_temps_1_trial_3_sim_score.csv,./RESULTS/final scores/trial 3/dataset_HumanEval_model_gpt-3.5-turbo_n_5_tempr_0_temps_1_trial_3_sim_score.csv,./RESULTS/final scores/trial 3/dataset_HumanEval_model_gpt-3.5-turbo_n_10_tempr_0_temps_1_trial_3_sim_score.csv,./RESULTS/final scores/trial 3/dataset_HumanEval_model_gpt-3.5-turbo_n_3_tempr_0_temps_1_trial_3_sim_score.csv,./RESULTS/final scores/trial 3/dataset_HumanEval_model_gpt-3.5-turbo_n_5_tempr_1_temps_1_trial_3_sim_score.csv,./RESULTS/final scores/trial 3/dataset_HumanEval_model_gpt-3.5-turbo_n_5_tempr_0_temps_1.5_trial_3_sim_score.csv
sequence_similarity,0.26,0.3,0.08,0.25,0.28,0.27,0.18,0.21,0.44
edit_distance_score,0.22,0.28,0.07,0.22,0.27,0.26,0.14,0.19,0.39
jaccard_similarity,0.23,0.21,0.12,0.25,0.24,0.2,0.09,0.15,0.35
cosine_similarity_score,0.29,0.2,0.09,0.29,0.26,0.3,0.13,0.21,0.43
sorensen_dice_coefficient,0.05,0.07,-0.03,0.18,0.11,0.08,0.01,0.05,0.23
hamming_distance_score,0.14,0.15,0.07,0.15,0.19,0.19,0.03,0.09,0.29
longest_common_subsequence,0.23,0.21,0.07,0.22,0.24,0.25,0.1,0.16,0.34
UnifiedDiff,0.39,0.3,0.14,0.36,0.28,0.29,0.3,0.32,0.44
TreeDiff,0.38,0.26,0.1,0.3,0.26,0.26,0.23,0.3,0.39
