task_id,prompt,sequence_similarity,edit_distance_score,jaccard_similarity,cosine_similarity_score,sorensen_dice_coefficient,hamming_distance_score,longest_common_subsequence,UnifiedDiff,TreeDiff,pass_rate_0,pass_rate_1,pass_rate_2,pass_rate_3,pass_rate_4,pass_rate_5,pass_rate_6,pass_rate_7,pass_rate_8,pass_rate_9,pass_rate_10
HumanEval/0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",0.9853696617935788,0.9608424738825188,0.9584022556390976,0.9740537025369973,0.9995354120065819,0.7006255131298799,0.8150032193286905,0.7432432432432433,0.7751937984496123,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/1,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",0.8254686602943562,0.5359658293792102,0.5332751811840954,0.4268459703713381,0.9900252266095777,0.3186052748677362,0.15886507068285816,0.7231182795698925,0.7595628415300547,100.0,100.0,0.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,0.0
HumanEval/2,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",0.932523188916285,0.8291550534332941,0.8294444444444444,0.8403634107984888,0.9899547094748437,0.8319660769379815,0.7625747097312685,0.8263888888888888,0.8106060606060606,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/3,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",0.8507616392528883,0.5983156092766002,0.6307118499573742,0.7267248203944525,0.9782940639401143,0.34280775446970163,0.3961191023506775,0.8201754385964911,0.8115942028985508,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0
HumanEval/4,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",0.9197591093292766,0.7985580751357155,0.8993885147110954,0.8888153334643928,0.9951964701964702,0.5920795001123116,0.622411319558889,0.7037037037037036,0.765625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/5,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",0.9470322185002027,0.8318610279091464,0.8703582531394083,0.8514518102421127,0.9971355873245592,0.5143859914638603,0.6226418583452502,0.6990740740740741,0.6532258064516129,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,0.0,66.66666666666666,100.0
HumanEval/6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",0.8898888653541365,0.706244414817846,0.8270001703722635,0.7050578683743476,0.9954880270175395,0.2751708808703875,0.30672968261372774,0.6142857142857143,0.667910447761194,100.0,100.0,100.0,33.33333333333333,100.0,100.0,33.33333333333333,0.0,0.0,0.0,100.0
HumanEval/7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",0.9644964482370868,0.8927844535720327,0.9110102301790282,0.9421219373344021,0.9907307800447416,0.6871266390162807,0.8006249601804118,0.8333333333333334,0.8333333333333334,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",0.9175162895370802,0.7731450133674114,0.8400829653754205,0.855182473647587,0.9924148559332202,0.5980479367138103,0.5638689675780666,0.7205882352941176,0.7072649572649571,100.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HumanEval/9,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",0.8868568147103598,0.7060752446853885,0.7393873525055252,0.7318823698278266,0.9881961028744204,0.39101671811614014,0.5135127149380097,0.556547619047619,0.5714285714285714,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
